DRUG_NAME,accuracy,precision,recall,f1,roc_auc
UNC0638,0.7990196078431373,0.8181818181818182,0.7788461538461539,0.7980295566502463,0.8652403846153847
PBD-288,0.7961165048543689,0.8333333333333334,0.7547169811320755,0.7920792079207921,0.8649056603773585
Zoledronate,0.7676767676767676,0.7674418604651163,0.717391304347826,0.7415730337078652,0.8543888433141917
HKMTI-1-005,0.797979797979798,0.851063829787234,0.7547169811320755,0.8,0.8521328958162429
Vorinostat,0.7842465753424658,0.9130434782608695,0.6645569620253164,0.7692307692307693,0.8516909125259776
GSK2830371,0.7772277227722773,0.8315789473684211,0.7314814814814815,0.7783251231527094,0.8503250591016549
GSK626616AC,0.7878787878787878,0.8604651162790697,0.7115384615384616,0.7789473684210526,0.8463584288052373
Venetoclax,0.7568493150684932,0.7480916030534351,0.7205882352941176,0.7340823970037453,0.8447398190045249
LMB_AB1,0.7878787878787878,0.7906976744186046,0.7391304347826086,0.7640449438202247,0.8439294503691551
AZD5991,0.7623762376237624,0.7209302325581395,0.7209302325581395,0.7209302325581395,0.8429230152365678
N29087-69-1,0.8095238095238095,0.8673469387755102,0.7589285714285714,0.8095238095238095,0.8380557580174927
ICL-SIRT078,0.7424242424242424,0.7473684210526316,0.7244897959183674,0.7357512953367875,0.8377551020408164
A-366,0.7815533980582524,0.7938144329896907,0.7549019607843137,0.7738693467336684,0.8302696078431373
LMB_AB2,0.7424242424242424,0.8352941176470589,0.6574074074074074,0.7357512953367875,0.8281893004115225
Daporinad,0.765625,0.7468354430379747,0.7023809523809523,0.7239263803680982,0.824404761904762
alpha-lipoic acid,0.7696078431372549,0.7684210526315789,0.7448979591836735,0.7564766839378239,0.8243165190604544
CDK9_5038,0.7326732673267327,0.75,0.673469387755102,0.7096774193548387,0.8231946624803768
CT7033-2,0.7524271844660194,0.7938144329896907,0.7129629629629629,0.751219512195122,0.8202003023431595
Podophyllotoxin bromide,0.7424242424242424,0.7411764705882353,0.6847826086956522,0.711864406779661,0.8195242001640689
IAP_5620,0.78,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.819243156199678
AZD1208,0.7524752475247525,0.7954545454545454,0.6862745098039216,0.7368421052631579,0.8159803921568627
Schweinfurthin A,0.7222222222222222,0.7529411764705882,0.6530612244897959,0.6994535519125683,0.8156122448979594
GSK2256098C,0.7676767676767676,0.8604651162790697,0.6851851851851852,0.7628865979381443,0.8153292181069958
Cisplatin,0.7666666666666667,0.8144329896907216,0.7181818181818181,0.7632850241545893,0.8146363636363637
N27922-53-1,0.780952380952381,0.8469387755102041,0.7280701754385965,0.7830188679245284,0.8123629385964911
Vinblastine,0.7,0.7575757575757576,0.6578947368421053,0.704225352112676,0.8116776315789473
N30652-18-1,0.7619047619047619,0.826530612244898,0.7105263157894737,0.7641509433962265,0.8105354532163743
Veliparib,0.7587412587412588,0.7637795275590551,0.7132352941176471,0.7376425855513308,0.8081372549019608
Lenalidomide,0.7727272727272727,0.84251968503937,0.7039473684210527,0.7670250896057348,0.8068538884524744
Sorafenib,0.7568493150684932,0.8320610687022901,0.689873417721519,0.754325259515571,0.8026402796145854
Pyridostatin,0.7269503546099291,0.7560975609756098,0.6642857142857143,0.7072243346007605,0.8018863179074447
Motesanib,0.7517482517482518,0.8294573643410853,0.6858974358974359,0.7508771929824561,0.79948224852071
Nelarabine,0.7575757575757576,0.8095238095238095,0.68,0.7391304347826086,0.7964285714285715
Elephantin,0.6919191919191919,0.7529411764705882,0.6153846153846154,0.6772486772486772,0.7954173486088381
LMP744,0.7474747474747475,0.7674418604651163,0.6875,0.7252747252747253,0.7921772875816994
CPI-637,0.7038834951456311,0.7938144329896907,0.652542372881356,0.7162790697674418,0.7912654083204932
Epirubicin,0.708904109589041,0.7637795275590551,0.6381578947368421,0.6953405017921147,0.7885338345864661
Temozolomide,0.7363013698630136,0.8110236220472441,0.6602564102564102,0.7279151943462897,0.788367269984917
